date,measure,value
2020-03-04,deaths,12
2020-03-04,deaths_avg7_pc,5.199130225200018e-6
2020-03-05,cases,228
2020-03-05,cases_avg7_pc,7.278782315280026e-5
2020-03-05,deaths,12
2020-03-05,deaths_avg7_pc,5.199130225200018e-6
2020-03-06,cases,311
2020-03-06,cases_avg7_pc,1.065821696166004e-4
2020-03-06,deaths,15
2020-03-06,deaths_avg7_pc,6.4989127815000224e-6
2020-03-07,cases,428
2020-03-07,cases_avg7_pc,1.551073850518005e-4
2020-03-07,deaths,19
2020-03-07,deaths_avg7_pc,7.798695337800028e-6
2020-03-08,cases,547
2020-03-08,cases_avg7_pc,1.988667311139007e-4
2020-03-08,deaths,22
2020-03-08,deaths_avg7_pc,8.231956189900028e-6
2020-03-09,cases,748
2020-03-09,cases_avg7_pc,2.7901998875240095e-4
2020-03-09,deaths,26
2020-03-09,deaths_avg7_pc,8.665217042000032e-6
2020-03-10,cases,1018
2020-03-10,cases_avg7_pc,3.8690194092530137e-4
2020-03-10,deaths,31
2020-03-10,deaths_avg7_pc,9.098477894100032e-6
2020-03-11,cases,1263
2020-03-11,cases_avg7_pc,4.774534590142016e-4
2020-03-11,deaths,37
2020-03-11,deaths_avg7_pc,1.0831521302500038e-5
2020-03-12,cases,1668
2020-03-12,cases_avg7_pc,6.238956270240021e-4
2020-03-12,deaths,43
2020-03-12,deaths_avg7_pc,1.3431086415100049e-5
2020-03-13,cases,2221
2020-03-13,cases_avg7_pc,8.275282275110028e-4
2020-03-13,deaths,50
2020-03-13,deaths_avg7_pc,1.5164129823500051e-5
2020-03-14,cases,2893
2020-03-14,cases_avg7_pc,0.0010679880004265
2020-03-14,deaths,60
2020-03-14,deaths_avg7_pc,1.7763694936100062e-5
2020-03-15,cases,3591
2020-03-15,cases_avg7_pc,0.0013188460337924
2020-03-15,deaths,68
2020-03-15,deaths_avg7_pc,1.992999919660007e-5
2020-03-16,cases,4497
2020-03-16,cases_avg7_pc,0.0016242949345229
2020-03-16,deaths,91
2020-03-16,deaths_avg7_pc,2.81619553865001e-5
2020-03-17,cases,5896
2020-03-17,cases_avg7_pc,0.0021134464365438
2020-03-17,deaths,117
2020-03-17,deaths_avg7_pc,3.726043328060013e-5
2020-03-18,cases,8334
2020-03-18,cases_avg7_pc,0.00306358748519911
2020-03-18,deaths,162
2020-03-18,deaths_avg7_pc,5.415760651250019e-5
2020-03-19,cases,12372
2020-03-19,cases_avg7_pc,0.00463762416087841
2020-03-19,deaths,212
2020-03-19,deaths_avg7_pc,7.322108400490025e-5
2020-03-20,cases,17978
2020-03-20,cases_avg7_pc,0.00682689124653972
2020-03-20,deaths,277
2020-03-20,deaths_avg7_pc,9.835021342670036e-5
2020-03-21,cases,24486
2020-03-21,cases_avg7_pc,0.00935540157939533
2020-03-21,deaths,359
2020-03-21,deaths_avg7_pc,1.2954499477790045e-4
2020-03-22,cases,33006
2020-03-22,cases_avg7_pc,0.01274436796452154
2020-03-22,deaths,456
2020-03-22,deaths_avg7_pc,1.681052106148006e-4
2020-03-23,cases,43428
2020-03-23,cases_avg7_pc,0.01686727823310515
2020-03-23,deaths,576
2020-03-23,deaths_avg7_pc,2.1013151326850077e-4
2020-03-24,cases,53850
2020-03-24,cases_avg7_pc,0.02077659090160347
2020-03-24,deaths,782
2020-03-24,deaths_avg7_pc,2.88118466646501e-4
2020-03-25,cases,68472
2020-03-25,cases_avg7_pc,0.02605544112358989
2020-03-25,deaths,1051
2020-03-25,deaths_avg7_pc,3.8516889751690137e-4
2020-03-26,cases,85440
2020-03-26,cases_avg7_pc,0.03165750394124291
2020-03-26,deaths,1350
2020-03-26,deaths_avg7_pc,4.930508496898017e-4
2020-03-27,cases,102749
2020-03-27,cases_avg7_pc,0.03672795569336922
2020-03-27,deaths,1761
2020-03-27,deaths_avg7_pc,6.429591045164022e-4
2020-03-28,cases,123788
2020-03-28,cases_avg7_pc,0.04302366913523434
2020-03-28,deaths,2288
2020-03-28,deaths_avg7_pc,8.357601837009029e-4
2020-03-29,cases,142276
2020-03-29,cases_avg7_pc,0.04734241330896716
2020-03-29,deaths,2701
2020-03-29,deaths_avg7_pc,9.726706129645034e-4
2020-03-30,cases,163689
2020-03-30,cases_avg7_pc,0.05210438333439828
2020-03-30,deaths,3347
2020-03-30,deaths_avg7_pc,0.0012005658211691
2020-03-31,cases,188051
2020-03-31,cases_avg7_pc,0.05814403961267229
2020-03-31,deaths,4279
2020-03-31,deaths_avg7_pc,0.0015151131997937
2020-04-01,cases,214922
2020-04-01,cases_avg7_pc,0.06345105179004522
2020-04-01,deaths,5310
2020-04-01,deaths_avg7_pc,0.0018452579690939
2020-04-02,cases,244595
2020-04-02,cases_avg7_pc,0.06895563091597574
2020-04-02,deaths,6525
2020-04-02,deaths_avg7_pc,0.0022421249096175
2020-04-03,cases,276848
2020-04-03,cases_avg7_pc,0.07543028108975816
2020-04-03,deaths,7912
2020-04-03,deaths_avg7_pc,0.0026649875012671
2020-04-04,cases,311800
2020-04-04,cases_avg7_pc,0.08145823932502547
2020-04-04,deaths,9465
2020-04-04,deaths_avg7_pc,0.00310951313552171
2020-04-05,cases,337351
2020-04-05,cases_avg7_pc,0.08451836072340779
2020-04-05,deaths,10831
2020-04-05,deaths_avg7_pc,0.00352241072757301
2020-04-06,cases,368226
2020-04-06,cases_avg7_pc,0.08861787490597801
2020-04-06,deaths,12355
2020-04-06,deaths_avg7_pc,0.00390281375571681
2020-04-07,cases,398494
